category,month,total_sales,total_profit
Furniture,Sep,278643.0,48059.0
Furniture,Oct,250172.0,45743.0
Furniture,Mar,318170.0,55768.0
Office Supplies,Feb,743056.0,130595.0
Technology,Jul,294696.0,52389.0
Office Supplies,Dec,917645.0,162563.0
Furniture,Aug,276010.0,49411.0
Office Supplies,Jul,778199.0,137141.0
Office Supplies,Jun,738085.0,131805.0
Technology,Sep,232448.0,40405.0
Technology,Dec,315657.0,55393.0
Technology,Jun,324828.0,59106.0
Office Supplies,Jan,869440.0,156612.0
Technology,Aug,307740.0,52881.0
Technology,Oct,352387.0,58878.0
Technology,Jan,311953.0,57732.0
Office Supplies,Mar,817854.0,137872.0
Office Supplies,Aug,727054.0,131542.0
Office Supplies,Sep,771495.0,133775.0
Office Supplies,Oct,815845.0,140630.0
Furniture,Nov,275691.0,47052.0
Office Supplies,Nov,763468.0,131089.0
Technology,May,298342.0,51585.0
Furniture,Feb,221507.0,40476.0
Office Supplies,Apr,754944.0,133598.0
Furniture,Jan,274087.0,49071.0
Furniture,Jun,267261.0,45956.0
Technology,Nov,323754.0,57760.0
Technology,Mar,281411.0,49824.0
Technology,Feb,275846.0,46460.0
Furniture,Apr,305346.0,55194.0
Technology,Apr,298244.0,51933.0
Furniture,Dec,294399.0,52953.0
Office Supplies,May,819868.0,146423.0
Furniture,Jul,247114.0,43160.0
Furniture,May,286138.0,52608.0
