category,month,total_sales,total_profit
Furniture,Sep,305522.0,52890.0
Furniture,Oct,276127.0,50540.0
Furniture,Mar,338022.0,58700.0
Office Supplies,Feb,805568.0,141916.0
Technology,Jul,314957.0,56307.0
Office Supplies,Dec,970149.0,170890.0
Furniture,Aug,291075.0,52197.0
Office Supplies,Jul,839114.0,147075.0
Office Supplies,Jun,792958.0,141820.0
Technology,Sep,253898.0,44116.0
Technology,Dec,330906.0,58188.0
Technology,Jun,346227.0,63005.0
Office Supplies,Jan,919769.0,165692.0
Technology,Aug,335558.0,57964.0
Technology,Oct,371502.0,62164.0
Technology,Jan,339957.0,63167.0
Office Supplies,Mar,879328.0,147912.0
Office Supplies,Aug,777383.0,141435.0
Office Supplies,Sep,837410.0,146376.0
Office Supplies,Oct,894100.0,156056.0
Furniture,Nov,292448.0,50175.0
Office Supplies,Nov,817776.0,141175.0
Technology,May,321641.0,54874.0
Furniture,Feb,241237.0,43837.0
Office Supplies,Apr,805819.0,142691.0
Furniture,Jan,286611.0,51297.0
Furniture,Jun,292239.0,49850.0
Technology,Nov,350401.0,63129.0
Technology,Mar,299321.0,52650.0
Technology,Feb,301473.0,51544.0
Furniture,Apr,333091.0,58855.0
Technology,Apr,327801.0,57278.0
Furniture,Dec,319697.0,57775.0
Office Supplies,May,880319.0,156856.0
Furniture,Jul,272124.0,47608.0
Furniture,May,315438.0,58016.0
