region,month_name,total_sales
South,Mar,213212.0
South,Jan,186838.0
East,Apr,302405.0
East,Nov,310224.0
Central,May,252730.0
East,Mar,281260.0
Central,Oct,235025.0
South,Nov,164166.0
Central,Apr,249908.0
South,Jul,138666.0
Central,Mar,280277.0
East,Jan,296589.0
West,Apr,289658.0
East,Sep,272182.0
South,Sep,189882.0
West,Aug,276248.0
Central,Nov,248966.0
South,Feb,204666.0
West,Mar,313723.0
South,Dec,206456.0
East,Feb,277792.0
West,Dec,361148.0
West,Sep,287675.0
Central,Sep,245712.0
South,Aug,191223.0
East,Jun,245072.0
West,Jan,354642.0
South,Apr,167700.0
Central,Dec,262300.0
West,Oct,318956.0
Central,Jun,234260.0
Central,Aug,213762.0
East,Oct,332553.0
West,Jun,297502.0
West,Jul,302198.0
West,Nov,301558.0
East,Dec,317492.0
South,Jun,179663.0
East,Jul,278644.0
East,May,268546.0
South,Oct,199315.0
Central,Jul,232252.0
Central,Jan,253402.0
East,Aug,301295.0
Central,Feb,235068.0
South,May,188571.0
West,May,301708.0
West,Feb,235767.0
