region,month_name,total_sales
South,Mar,301896.0
South,Jan,265013.0
East,Apr,443951.0
East,Nov,433404.0
Central,May,379292.0
East,Mar,420172.0
Central,Oct,317897.0
South,Nov,228897.0
Central,Apr,351495.0
South,Jul,216549.0
Central,Mar,360716.0
East,Jan,426650.0
West,Apr,428189.0
East,Sep,400701.0
South,Sep,270278.0
West,Aug,408067.0
Central,Nov,350448.0
South,Feb,263587.0
West,Mar,431116.0
South,Dec,302817.0
East,Feb,373329.0
West,Dec,513574.0
West,Sep,399369.0
Central,Sep,318661.0
South,Aug,282857.0
East,Jun,346325.0
West,Jan,492099.0
South,Apr,237795.0
Central,Dec,365236.0
West,Oct,479358.0
Central,Jun,342546.0
Central,Aug,294424.0
East,Oct,470776.0
West,Jun,472502.0
West,Jul,421170.0
West,Nov,441210.0
East,Dec,433575.0
South,Jun,265979.0
East,Jul,420046.0
East,May,378674.0
South,Oct,271399.0
Central,Jul,365261.0
Central,Jan,359937.0
East,Aug,415304.0
Central,Feb,351585.0
South,May,271634.0
West,May,483833.0
West,Feb,355371.0
