segment,month_name,total_sales,total_profit
Corporate,Oct,330043.0,56479.0
Home Office,Jul,188635.0,32718.0
Consumer,Jul,478635.0,85113.0
Corporate,Mar,299219.0,52063.0
Consumer,Nov,461081.0,79941.0
Home Office,Aug,157353.0,27209.0
Consumer,Aug,519604.0,95404.0
Corporate,Aug,286191.0,50984.0
Home Office,Apr,178561.0,32215.0
Consumer,Jun,479538.0,85905.0
Consumer,May,504770.0,89448.0
Home Office,Sep,155084.0,25808.0
Corporate,Jul,258116.0,48208.0
Corporate,Dec,372809.0,65915.0
Corporate,May,313188.0,56075.0
Corporate,Apr,308409.0,53751.0
Home Office,May,176854.0,32405.0
Home Office,Jan,199338.0,36101.0
Home Office,Jun,161833.0,30471.0
Consumer,Sep,527734.0,90779.0
Home Office,Mar,207140.0,33383.0
Consumer,Apr,502972.0,90404.0
Home Office,Nov,194735.0,33954.0
Home Office,Oct,200037.0,34855.0
Consumer,Dec,557441.0,100876.0
Corporate,Nov,346738.0,58838.0
Corporate,Sep,285998.0,50414.0
Corporate,Feb,293746.0,50120.0
Home Office,Feb,167568.0,30417.0
Consumer,Mar,563770.0,99828.0
Consumer,Oct,528752.0,91482.0
Corporate,Jan,359422.0,63620.0
Consumer,Jan,507086.0,93860.0
Corporate,Jun,296287.0,52710.0
Home Office,Dec,185198.0,31101.0
Consumer,Feb,464840.0,83221.0
