state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,78,1
Alabama,Binders,71,2
Alabama,Furnishings,50,3
Alabama,Chairs,39,4
Alabama,Accessories,36,5
Alabama,Art,25,6
Alabama,Storage,23,7
Alabama,Envelopes,16,8
Alabama,Tables,16,8
Alabama,Phones,15,10
Alabama,Appliances,15,10
Alabama,Labels,14,12
Alabama,Bookcases,12,13
Alabama,Fasteners,9,14
Alabama,Supplies,5,15
Arizona,Paper,299,1
Arizona,Binders,285,2
Arizona,Furnishings,267,3
Arizona,Phones,240,4
Arizona,Art,217,5
Arizona,Accessories,175,6
Arizona,Storage,174,7
Arizona,Labels,132,8
Arizona,Chairs,130,9
Arizona,Appliances,126,10
Arizona,Envelopes,79,11
Arizona,Bookcases,67,12
Arizona,Machines,67,12
Arizona,Tables,67,12
Arizona,Fasteners,41,15
Arizona,Supplies,37,16
Arizona,Copiers,11,17
Arkansas,Furnishings,50,1
Arkansas,Art,50,1
Arkansas,Phones,48,3
Arkansas,Paper,39,4
Arkansas,Binders,35,5
Arkansas,Storage,27,6
Arkansas,Labels,18,7
Arkansas,Fasteners,18,7
Arkansas,Appliances,16,9
Arkansas,Accessories,13,10
Arkansas,Chairs,13,10
Arkansas,Tables,12,12
Arkansas,Machines,6,13
Arkansas,Envelopes,4,14
California,Paper,2342,1
California,Binders,1827,2
California,Phones,1622,3
California,Furnishings,1594,4
California,Art,1520,5
California,Accessories,1388,6
California,Storage,1152,7
California,Appliances,933,8
California,Chairs,809,9
California,Labels,666,10
California,Machines,623,11
California,Envelopes,551,12
California,Tables,534,13
California,Bookcases,488,14
California,Supplies,400,15
California,Fasteners,353,16
California,Copiers,120,17
Colorado,Binders,302,1
Colorado,Paper,274,2
Colorado,Phones,216,3
Colorado,Furnishings,194,4
Colorado,Art,173,5
Colorado,Storage,152,6
Colorado,Accessories,136,7
Colorado,Appliances,103,8
Colorado,Chairs,95,9
Colorado,Machines,89,10
Colorado,Envelopes,88,11
Colorado,Bookcases,78,12
Colorado,Tables,71,13
Colorado,Labels,67,14
Colorado,Supplies,46,15
Colorado,Fasteners,41,16
Colorado,Copiers,10,17
Connecticut,Phones,75,1
Connecticut,Accessories,63,2
Connecticut,Binders,56,3
Connecticut,Art,54,4
Connecticut,Furnishings,53,5
Connecticut,Paper,49,6
Connecticut,Storage,36,7
Connecticut,Appliances,33,8
Connecticut,Fasteners,28,9
Connecticut,Machines,26,10
Connecticut,Labels,26,10
Connecticut,Chairs,21,12
Connecticut,Bookcases,17,13
Connecticut,Tables,17,13
Connecticut,Supplies,8,15
Connecticut,Envelopes,7,16
Connecticut,Copiers,5,17
Delaware,Storage,117,1
Delaware,Paper,106,2
Delaware,Furnishings,79,3
Delaware,Phones,57,4
Delaware,Accessories,52,5
Delaware,Appliances,50,6
Delaware,Chairs,45,7
Delaware,Binders,39,8
Delaware,Art,39,8
Delaware,Machines,38,10
Delaware,Supplies,22,11
Delaware,Envelopes,22,11
Delaware,Bookcases,17,13
Delaware,Labels,16,14
Delaware,Tables,15,15
Delaware,Fasteners,12,16
District of Columbia,Paper,35,1
District of Columbia,Binders,15,2
District of Columbia,Labels,10,3
District of Columbia,Fasteners,7,4
District of Columbia,Furnishings,7,4
District of Columbia,Art,7,4
District of Columbia,Phones,5,7
District of Columbia,Chairs,3,8
District of Columbia,Envelopes,3,8
District of Columbia,Appliances,2,10
Florida,Paper,493,1
Florida,Binders,416,2
Florida,Art,344,3
Florida,Phones,318,4
Florida,Furnishings,314,5
Florida,Accessories,311,6
Florida,Storage,219,7
Florida,Appliances,174,8
Florida,Chairs,169,9
Florida,Labels,132,10
Florida,Tables,130,11
Florida,Machines,122,12
Florida,Envelopes,96,13
Florida,Fasteners,93,14
Florida,Supplies,83,15
Florida,Bookcases,65,16
Florida,Copiers,7,17
Georgia,Phones,155,1
Georgia,Binders,148,2
Georgia,Paper,126,3
Georgia,Furnishings,100,4
Georgia,Art,98,5
Georgia,Tables,60,6
Georgia,Chairs,58,7
Georgia,Accessories,56,8
Georgia,Appliances,54,9
Georgia,Storage,54,9
Georgia,Machines,45,11
Georgia,Labels,35,12
Georgia,Bookcases,35,12
Georgia,Supplies,19,14
Georgia,Envelopes,18,15
Georgia,Fasteners,8,16
Georgia,Copiers,5,17
Illinois,Paper,528,1
Illinois,Binders,441,2
Illinois,Furnishings,406,3
Illinois,Phones,398,4
Illinois,Accessories,277,5
Illinois,Art,226,6
Illinois,Chairs,222,7
Illinois,Storage,221,8
Illinois,Appliances,193,9
