state,sub_category,quantity_sold,sub_category_rank
Alabama,Paper,142,1
Alabama,Binders,141,2
Alabama,Storage,81,3
Alabama,Furnishings,80,4
Alabama,Accessories,71,5
Alabama,Chairs,64,6
Alabama,Art,59,7
Alabama,Phones,48,8
Alabama,Appliances,42,9
Alabama,Tables,40,10
Alabama,Labels,40,10
Alabama,Bookcases,36,12
Alabama,Envelopes,35,13
Alabama,Fasteners,24,14
Alabama,Supplies,12,15
Alabama,Machines,5,16
Alabama,Copiers,4,17
Arizona,Paper,548,1
Arizona,Binders,451,2
Arizona,Furnishings,424,3
Arizona,Phones,356,4
Arizona,Art,350,5
Arizona,Accessories,312,6
Arizona,Storage,215,7
Arizona,Appliances,200,8
Arizona,Chairs,190,9
Arizona,Labels,158,10
Arizona,Envelopes,104,11
Arizona,Bookcases,96,12
Arizona,Tables,90,13
Arizona,Machines,80,14
Arizona,Supplies,63,15
Arizona,Fasteners,60,16
Arizona,Copiers,26,17
Arkansas,Paper,61,1
Arkansas,Phones,57,2
Arkansas,Art,56,3
Arkansas,Furnishings,53,4
Arkansas,Binders,43,5
Arkansas,Storage,37,6
Arkansas,Chairs,28,7
Arkansas,Accessories,24,8
Arkansas,Fasteners,24,8
Arkansas,Labels,18,10
Arkansas,Appliances,18,10
Arkansas,Tables,18,10
Arkansas,Machines,8,13
Arkansas,Supplies,7,14
Arkansas,Bookcases,5,15
Arkansas,Envelopes,4,16
California,Paper,4005,1
California,Binders,2971,2
California,Phones,2814,3
California,Furnishings,2590,4
California,Art,2496,5
California,Accessories,2154,6
California,Storage,1950,7
California,Appliances,1469,8
California,Chairs,1264,9
California,Labels,1032,10
California,Machines,923,11
California,Envelopes,914,12
California,Tables,815,13
California,Bookcases,764,14
California,Fasteners,668,15
California,Supplies,568,16
California,Copiers,195,17
Colorado,Paper,475,1
Colorado,Binders,462,2
Colorado,Furnishings,354,3
Colorado,Phones,353,4
Colorado,Art,315,5
Colorado,Storage,288,6
Colorado,Accessories,237,7
Colorado,Appliances,192,8
Colorado,Chairs,134,9
Colorado,Machines,132,10
Colorado,Envelopes,132,10
Colorado,Tables,121,12
Colorado,Labels,120,13
Colorado,Bookcases,102,14
Colorado,Fasteners,81,15
Colorado,Supplies,73,16
Colorado,Copiers,16,17
Connecticut,Paper,154,1
Connecticut,Phones,129,2
Connecticut,Art,108,3
Connecticut,Binders,94,4
Connecticut,Furnishings,90,5
Connecticut,Accessories,88,6
Connecticut,Appliances,57,7
Connecticut,Storage,55,8
Connecticut,Chairs,53,9
Connecticut,Machines,48,10
Connecticut,Labels,48,10
Connecticut,Fasteners,35,12
Connecticut,Bookcases,28,13
Connecticut,Tables,19,14
Connecticut,Supplies,18,15
Connecticut,Envelopes,14,16
Connecticut,Copiers,7,17
Delaware,Paper,147,1
Delaware,Storage,130,2
Delaware,Furnishings,111,3
Delaware,Accessories,101,4
Delaware,Phones,84,5
Delaware,Binders,63,6
Delaware,Art,61,7
Delaware,Appliances,59,8
Delaware,Chairs,56,9
Delaware,Machines,43,10
Delaware,Envelopes,33,11
Delaware,Tables,30,12
Delaware,Supplies,30,12
Delaware,Bookcases,20,14
Delaware,Labels,20,14
Delaware,Fasteners,18,16
Delaware,Copiers,5,17
District of Columbia,Paper,37,1
District of Columbia,Binders,15,2
District of Columbia,Furnishings,14,3
District of Columbia,Tables,14,3
District of Columbia,Supplies,11,5
District of Columbia,Labels,10,6
District of Columbia,Envelopes,10,6
District of Columbia,Phones,9,8
District of Columbia,Art,9,8
District of Columbia,Chairs,8,10
District of Columbia,Fasteners,7,11
District of Columbia,Machines,3,12
District of Columbia,Appliances,2,13
Florida,Paper,749,1
Florida,Binders,614,2
Florida,Furnishings,542,3
Florida,Art,459,4
Florida,Phones,454,5
Florida,Accessories,440,6
Florida,Storage,321,7
Florida,Appliances,268,8
Florida,Chairs,255,9
Florida,Labels,219,10
Florida,Machines,194,11
Florida,Tables,193,12
Florida,Envelopes,130,13
Florida,Fasteners,129,14
Florida,Bookcases,113,15
Florida,Supplies,109,16
Florida,Copiers,18,17
Georgia,Paper,345,1
Georgia,Binders,289,2
Georgia,Phones,250,3
Georgia,Furnishings,207,4
Georgia,Art,200,5
Georgia,Storage,135,6
Georgia,Chairs,131,7
Georgia,Accessories,117,8
Georgia,Appliances,111,9
Georgia,Tables,92,10
Georgia,Labels,74,11
Georgia,Machines,66,12
Georgia,Bookcases,51,13
Georgia,Envelopes,31,14
Georgia,Fasteners,30,15
Georgia,Supplies,24,16
Georgia,Copiers,5,17
Illinois,Paper,1118,1
Illinois,Binders,771,2
Illinois,Phones,696,3
Illinois,Furnishings,640,4
Illinois,Accessories,561,5
Illinois,Art,506,6
Illinois,Storage,481,7
Illinois,Appliances,361,8
Illinois,Chairs,348,9
Illinois,Machines,314,10
Illinois,Labels,271,11
Illinois,Tables,233,12
Illinois,Bookcases,230,13
Illinois,Envelopes,186,14
Illinois,Supplies,168,15
Illinois,Fasteners,143,16
Illinois,Copiers,29,17
Indiana,Paper,238,1
Indiana,Phones,208,2
Indiana,Accessories,177,3
Indiana,Binders,174,4
Indiana,Furnishings,130,5
Indiana,Art,120,6
Indiana,Storage,96,7
Indiana,Labels,82,8
Indiana,Appliances,68,9
Indiana,Chairs,61,10
Indiana,Envelopes,47,11
Indiana,Tables,37,12
Indiana,Fasteners,32,13
Indiana,Supplies,30,14
Indiana,Bookcases,29,15
Indiana,Machines,29,15
Indiana,Copiers,11,17
Iowa,Binders,51,1
Iowa,Storage,47,2
Iowa,Furnishings,41,3
Iowa,Paper,38,4
Iowa,Phones,28,5
Iowa,Chairs,25,6
Iowa,Art,19,7
Iowa,Accessories,16,8
Iowa,Envelopes,14,9
Iowa,Fasteners,12,10
Iowa,Appliances,12,10
Iowa,Supplies,4,12
Iowa,Labels,3,13
Iowa,Machines,2,14
Iowa,Tables,1,15
Kansas,Paper,75,1
Kansas,Art,57,2
Kansas,Chairs,46,3
Kansas,Phones,42,4
Kansas,Fasteners,28,5
Kansas,Furnishings,26,6
Kansas,Accessories,24,7
