state,total_sales,total_customers
Alabama,41562.0,4
Arizona,247795.0,25
Arkansas,53913.0,3
California,1791681.0,181
Colorado,214271.0,23
Connecticut,71337.0,7
Delaware,70497.0,8
District of Columbia,5512.0,1
Florida,364231.0,43
Georgia,106647.0,12
Illinois,405446.0,44
Indiana,106550.0,9
Iowa,10997.0,2
Kansas,34823.0,3
Kentucky,226334.0,21
Louisiana,41282.0,4
Maryland,22696.0,3
Massachusetts,109960.0,11
Michigan,184399.0,18
Minnesota,156181.0,15
Mississippi,56221.0,6
Missouri,52323.0,8
Nevada,9790.0,1
New Hampshire,22321.0,3
New Jersey,156184.0,19
New Mexico,4429.0,1
New York,917974.0,99
North Carolina,251154.0,30
Ohio,446163.0,48
Oklahoma,36255.0,4
Oregon,33962.0,2
Pennsylvania,470718.0,47
Rhode Island,48370.0,4
Tennessee,143166.0,17
Texas,896270.0,86
Utah,42550.0,5
Virginia,199265.0,20
Washington,383758.0,45
Wisconsin,46809.0,5
